hidden_layers,activation,epochs,learning_rate,batch_size,accuracy,mae,mse,r2
[4],relu,1,10.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,10.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,1.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,1.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,1.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,1.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,1.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,1.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,0.1,16,0.7731666666666667,0.22683333333333333,0.22683333333333333,-0.31686929564263955
[4],relu,1,0.1,32,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],relu,1,0.1,64,0.475,0.525,0.525,-2.047860603434471
[4],relu,1,0.1,128,0.789,0.211,0.211,-0.22494969014223498
[4],relu,1,0.1,256,0.6738333333333333,0.32616666666666666,0.32616666666666666,-0.8935438733083363
[4],relu,1,0.1,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,0.01,16,0.7361666666666666,0.2638333333333333,0.2638333333333333,-0.5316709000751643
[4],relu,1,0.01,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,0.01,64,0.24483333333333332,0.7551666666666667,0.7551666666666667,-3.3840813949719326
[4],relu,1,0.01,128,0.7501666666666666,0.24983333333333332,0.24983333333333332,-0.45039461731691177
[4],relu,1,0.01,256,0.5921666666666666,0.4078333333333333,0.4078333333333333,-1.3676555227314764
[4],relu,1,0.01,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,0.001,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,0.001,32,0.3955,0.6045,0.6045,-2.5093937805259765
[4],relu,1,0.001,64,0.2723333333333333,0.7276666666666667,0.7276666666666667,-3.2244315538396506
[4],relu,1,0.001,128,0.7733333333333333,0.22666666666666666,0.22666666666666666,-0.31590172084789847
[4],relu,1,0.001,256,0.3456666666666667,0.6543333333333333,0.6543333333333333,-2.798698644153566
[4],relu,1,0.001,512,0.22266666666666668,0.7773333333333333,0.7773333333333333,-3.5127688426724992
[4],relu,1,0.0001,16,0.5048333333333334,0.49516666666666664,0.49516666666666664,-1.8746647151758138
[4],relu,1,0.0001,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,1,0.0001,64,0.7615,0.2385,0.2385,-0.38459953127451674
[4],relu,1,0.0001,128,0.2545,0.7455,0.7455,-3.327962056876949
[4],relu,1,0.0001,256,0.5661666666666667,0.43383333333333335,0.43383333333333335,-1.518597190711088
[4],relu,1,0.0001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,10.0,16,0.7926666666666666,0.20733333333333334,0.20733333333333334,-0.20366304465793061
[4],relu,10,10.0,32,0.787,0.213,0.213,-0.23656058767912813
[4],relu,10,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,10.0,128,0.675,0.325,0.325,-0.8867708497451485
[4],relu,10,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,10,1.0,16,0.7566666666666667,0.24333333333333335,0.24333333333333335,-0.41265920032200865
[4],relu,10,1.0,32,0.7796666666666666,0.22033333333333333,0.22033333333333333,-0.27913387864773664
[4],relu,10,1.0,64,0.7921666666666667,0.20783333333333334,0.20783333333333334,-0.20656576904215407
[4],relu,10,1.0,128,0.795,0.205,0.205,-0.1901169975315553
[4],relu,10,1.0,256,0.7828333333333334,0.21716666666666667,0.21716666666666667,-0.26074995754765573
[4],relu,10,1.0,512,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
