hidden_layers,activation,epochs,lr,batch_size,mae,mse,r2
[4],linear,1,0.1,16,3327.1565900705705,131740050.20100935,-0.0917215347290039
[4],linear,1,0.1,32,3326.68461298587,131736893.48503415,-0.09169566631317139
[4],linear,1,0.1,64,3327.1396482285886,131740782.03720064,-0.09172773361206055
[4],linear,1,0.1,128,3326.7210820967475,131737747.65467058,-0.09170258045196533
[4],linear,1,0.1,256,3327.114150142275,131740676.25567944,-0.09172689914703369
[4],linear,1,0.1,512,3327.5872108340827,131743634.26188336,-0.0917513370513916
[4],linear,1,0.01,16,3327.4337276265155,131743313.21618772,-0.09174871444702148
[4],linear,1,0.01,32,3327.5242660377016,131744155.85022682,-0.09175574779510498
[4],linear,1,0.01,64,3327.664640086557,131745279.21477246,-0.09176492691040039
[4],linear,1,0.01,128,3327.8433797631556,131745829.92288627,-0.09176957607269287
[4],linear,1,0.01,256,3326.815527912049,131739508.23635726,-0.09171724319458008
[4],linear,1,0.01,512,3327.2757038674436,131742828.08914207,-0.09174466133117676
[4],linear,1,0.001,16,3327.6078168263643,131744206.1206095,-0.09175610542297363
[4],linear,1,0.001,32,3327.18858448643,131743103.97558305,-0.09174692630767822
[4],linear,1,0.001,64,3327.4642113098735,131743709.63053249,-0.0917520523071289
[4],linear,1,0.001,128,3327.30576567767,131742755.12957694,-0.091744065284729
[4],linear,1,0.001,256,3327.979448885331,131747439.82818717,-0.09178292751312256
[4],linear,1,0.001,512,3327.2558180318856,131742943.25338346,-0.09174561500549316
[4],linear,1,0.0001,16,3327.1518180055637,131741800.87889384,-0.09173619747161865
[4],linear,1,0.0001,32,3327.300884772689,131742977.3529933,-0.09174585342407227
[4],linear,1,0.0001,64,3327.425422211112,131743580.32477893,-0.09175097942352295
[4],linear,1,0.0001,128,3327.4233468851685,131743380.55772421,-0.09174919128417969
[4],linear,1,0.0001,256,3327.4957632662604,131744279.12503375,-0.09175670146942139
[4],linear,1,0.0001,512,3327.9039797877294,131746785.49249387,-0.09177756309509277
[4],linear,10,0.1,16,3323.1015194204556,131654829.63404013,-0.09101545810699463
[4],linear,10,0.1,32,3322.660116438119,131635095.35314026,-0.0908517837524414
[4],linear,10,0.1,64,3322.4721902490965,131631652.36980958,-0.09082317352294922
[4],linear,10,0.1,128,3323.4088661971036,131652526.22573432,-0.09099626541137695
[4],linear,10,0.1,256,3321.246401130589,131627525.58284566,-0.0907890796661377
[4],linear,10,0.1,512,3321.5949908558996,131625743.63219698,-0.09077417850494385
[4],linear,10,0.01,16,3327.176387126854,131737816.73138294,-0.09170317649841309
[4],linear,10,0.01,32,3326.6558727372985,131736898.65682092,-0.09169554710388184
[4],linear,10,0.01,64,3327.531727880123,131742025.72319578,-0.09173798561096191
[4],linear,10,0.01,128,3327.2621653020656,131740906.33778915,-0.09172868728637695
[4],linear,10,0.01,256,3327.2833495688005,131741171.37476958,-0.09173095226287842
[4],linear,10,0.01,512,3327.416226671615,131742730.83546416,-0.0917438268661499
[4],linear,10,0.001,16,3327.281875821754,131742241.03385556,-0.09173977375030518
[4],linear,10,0.001,32,3327.6226870473542,131744709.06816724,-0.09176015853881836
[4],linear,10,0.001,64,3327.4773036821207,131743891.69414544,-0.09175348281860352
[4],linear,10,0.001,128,3327.3088598996455,131742468.50638999,-0.09174168109893799
[4],linear,10,0.001,256,3327.6252621326676,131744936.5583818,-0.09176218509674072
[4],linear,10,0.001,512,3327.806497942091,131746494.41755633,-0.09177505970001221
[4],linear,10,0.0001,16,3327.2177829620155,131742388.19860055,-0.09174096584320068
[4],linear,10,0.0001,32,3327.0098968925086,131740668.75787856,-0.09172677993774414
[4],linear,10,0.0001,64,3327.346796824721,131742963.60299899,-0.09174585342407227
[4],linear,10,0.0001,128,3327.4841835181846,131743615.63789912,-0.09175121784210205
[4],linear,10,0.0001,256,3327.759663237842,131745967.29578261,-0.09177064895629883
[4],linear,10,0.0001,512,3327.0275515033763,131740318.35098675,-0.09172379970550537
[4],linear,25,0.1,16,3299.957707272455,131087050.89549303,-0.08631014823913574
[4],linear,25,0.1,32,3300.2470864083552,131094333.69526856,-0.08637058734893799
[4],linear,25,0.1,64,3300.7782370513287,131106759.17194618,-0.08647358417510986
[4],linear,25,0.1,128,3299.056951384103,131074039.17719984,-0.08620238304138184
[4],linear,25,0.1,256,3296.245834285907,131046299.23773995,-0.08597254753112793
[4],linear,25,0.1,512,3299.1741459227283,131072275.05431432,-0.08618772029876709
[4],linear,25,0.01,16,3327.135491604876,131735169.2167866,-0.09168124198913574
[4],linear,25,0.01,32,3326.568266491456,131729391.71610628,-0.09163331985473633
[4],linear,25,0.01,64,3326.871863807756,131733703.48370357,-0.09166908264160156
[4],linear,25,0.01,128,3326.674204447423,131730585.69634861,-0.09164309501647949
[4],linear,25,0.01,256,3326.578309739607,131730818.53734237,-0.09164512157440186
[4],linear,25,0.01,512,3326.797087577858,131731910.37403095,-0.09165418148040771
[4],linear,25,0.001,16,3327.2429764633803,131741633.18099979,-0.09173476696014404
[4],linear,25,0.001,32,3327.1997200564642,131740606.90340985,-0.09172618389129639
[4],linear,25,0.001,64,3327.5515470325495,131744443.62124932,-0.091758131980896
[4],linear,25,0.001,128,3327.1106256104445,131741547.60807763,-0.09173417091369629
[4],linear,25,0.001,256,3327.2356632815354,131741728.94669569,-0.0917356014251709
[4],linear,25,0.001,512,3327.4605176427453,131742886.20176926,-0.09174525737762451
[4],linear,25,0.0001,16,3327.764107682321,131745679.42109638,-0.09176826477050781
[4],linear,25,0.0001,32,3327.513631736286,131743884.37746756,-0.09175348281860352
[4],linear,25,0.0001,64,3327.1579336468008,131741726.13596487,-0.09173548221588135
[4],linear,25,0.0001,128,3327.1297833305625,131742060.11274731,-0.09173822402954102
[4],linear,25,0.0001,256,3327.4027494613324,131742162.58454815,-0.09173905849456787
[4],linear,25,0.0001,512,3327.1259070041156,131740401.9267442,-0.09172463417053223
[4],linear,50,0.1,16,3249.7507986238197,129005319.36065689,-0.06905913352966309
[4],linear,50,0.1,32,3249.6624887856487,129081292.92944878,-0.06968867778778076
[4],linear,50,0.1,64,3253.4920632808835,129106493.70065567,-0.06989741325378418
[4],linear,50,0.1,128,3253.23670703217,129074581.08827905,-0.069632887840271
[4],linear,50,0.1,256,3250.404656148886,129011360.58862354,-0.06910896301269531
[4],linear,50,0.1,512,3253.3083756943042,129046824.81269287,-0.06940305233001709
[4],linear,50,0.01,16,3325.406845294068,131704482.18728524,-0.09142684936523438
[4],linear,50,0.01,32,3325.308249366956,131702568.16524173,-0.09141099452972412
[4],linear,50,0.01,64,3325.7691082901765,131700317.41032238,-0.0913923978805542
[4],linear,50,0.01,128,3325.43351091144,131699019.42269458,-0.09138154983520508
[4],linear,50,0.01,256,3325.5552168488684,131697711.84691821,-0.09137082099914551
[4],linear,50,0.01,512,3325.010578927514,131704243.88935287,-0.09142482280731201
[4],linear,50,0.001,16,3327.1035719719835,131740980.46503188,-0.09172928333282471
[4],linear,50,0.001,32,3327.520199888459,131742778.31885184,-0.0917443037033081
[4],linear,50,0.001,64,3327.6269909897355,131744456.36499913,-0.09175825119018555
[4],linear,50,0.001,128,3327.3676323375485,131742343.51325393,-0.09174072742462158
[4],linear,50,0.001,256,3327.337943629167,131742137.85972846,-0.09173905849456787
[4],linear,50,0.001,512,3327.3987219361466,131743371.68488799,-0.09174919128417969
[4],linear,50,0.0001,16,3326.8673805897597,131740076.15597147,-0.09172189235687256
[4],linear,50,0.0001,32,3327.8569841464177,131746329.67045178,-0.09177350997924805
[4],linear,50,0.0001,64,3327.2799349323004,131742630.96581878,-0.0917431116104126
[4],linear,50,0.0001,128,3327.82227516216,131745529.31839946,-0.0917670726776123
[4],linear,50,0.0001,256,3327.3170345436033,131743090.7038139,-0.09174692630767822
[4],linear,50,0.0001,512,3327.551895197207,131744411.09440498,-0.0917578935623169
[4],linear,100,0.1,16,3052.7718135927194,125553266.45424178,-0.040452003479003906
[4],linear,100,0.1,32,3059.449986296233,125602130.96554808,-0.04085707664489746
[4],linear,100,0.1,64,3055.7531044870775,125572826.71740757,-0.04061412811279297
[4],linear,100,0.1,128,3059.7354595245906,125600861.0582867,-0.04084658622741699
[4],linear,100,0.1,256,3052.0171572025165,125551698.61377814,-0.04043912887573242
[4],linear,100,0.1,512,3057.432802350062,125582537.05411051,-0.0406947135925293
[4],linear,100,0.01,16,3318.8789432306717,131547100.13821097,-0.09012269973754883
[4],linear,100,0.01,32,3318.694122006466,131555941.20339417,-0.09019577503204346
[4],linear,100,0.01,64,3318.5459109374974,131545889.89230204,-0.09011256694793701
[4],linear,100,0.01,128,3318.799917284072,131561215.96658692,-0.0902395248413086
[4],linear,100,0.01,256,3318.517530533127,131548214.5948837,-0.09013187885284424
[4],linear,100,0.01,512,3319.6905419296163,131554909.4991371,-0.09018731117248535
[4],linear,100,0.001,16,3326.9833256836264,131738249.37606783,-0.09170675277709961
[4],linear,100,0.001,32,3326.8565811381627,131737250.1864933,-0.09169840812683105
[4],linear,100,0.001,64,3327.2956619117617,131740678.3707057,-0.09172701835632324
[4],linear,100,0.001,128,3327.247849168688,131740118.44790213,-0.09172224998474121
[4],linear,100,0.001,256,3326.953989795387,131737836.68543625,-0.09170341491699219
[4],linear,100,0.001,512,3327.122090553876,131739745.30822586,-0.09171926975250244
[4],linear,100,0.0001,16,3327.6393957973833,131744538.39632265,-0.09175896644592285
[4],linear,100,0.0001,32,3327.519618809798,131744637.41286092,-0.0917595624923706
[4],linear,100,0.0001,64,3327.7319996721667,131745173.4917632,-0.09176409244537354
[4],linear,100,0.0001,128,3327.9400806276167,131747426.23699205,-0.09178268909454346
[4],linear,100,0.0001,256,3327.192030897425,131742209.050345,-0.09173953533172607
[4],linear,100,0.0001,512,3326.883744545436,131739261.09097967,-0.09171509742736816
[4],linear,250,0.1,16,2863.3183090858493,118008485.38084513,0.022071003913879395
[4],linear,250,0.1,32,2863.1210656267713,118008802.46374618,0.022068381309509277
[4],linear,250,0.1,64,2862.771012711666,118009066.78777415,0.022066175937652588
[4],linear,250,0.1,128,2863.4514326763597,118008667.80157876,0.022069454193115234
[4],linear,250,0.1,256,2863.8837267009317,118008299.33992472,0.02207261323928833
[4],linear,250,0.1,512,2864.602120202101,118008342.8314731,0.022072196006774902
[4],linear,250,0.01,16,3278.005028413214,130491553.87444402,-0.0813753604888916
[4],linear,250,0.01,32,3277.1193602376184,130485794.22298393,-0.08132779598236084
[4],linear,250,0.01,64,3277.273958115022,130492858.42772385,-0.08138620853424072
[4],linear,250,0.01,128,3276.7140673536537,130497633.79759368,-0.08142578601837158
[4],linear,250,0.01,256,3279.1112186641108,130491618.57213672,-0.0813758373260498
[4],linear,250,0.01,512,3275.3994634344353,130477716.15541065,-0.0812608003616333
[4],linear,250,0.001,16,3326.584410533421,131726125.97574706,-0.09160614013671875
[4],linear,250,0.001,32,3326.0838417512223,131724397.54233757,-0.09159195423126221
[4],linear,250,0.001,64,3326.521400736596,131727633.91016254,-0.09161865711212158
[4],linear,250,0.001,128,3325.676647833819,131716199.16567688,-0.09152400493621826
[4],linear,250,0.001,256,3327.0678810245254,131728870.54313946,-0.0916290283203125
[4],linear,250,0.001,512,3326.993870742489,131729079.72007197,-0.09163069725036621
[4],linear,250,0.0001,16,3326.7844406842664,131738772.7187396,-0.09171116352081299
[4],linear,250,0.0001,32,3327.5475013690466,131744829.29106244,-0.09176123142242432
[4],linear,250,0.0001,64,3327.280017271369,131742258.85493992,-0.09173989295959473
[4],linear,250,0.0001,128,3327.41533165657,131742294.65916169,-0.09174036979675293
[4],linear,250,0.0001,256,3327.04766160186,131741793.70824458,-0.0917360782623291
[4],linear,250,0.0001,512,3327.202001045861,131741197.56317213,-0.09173119068145752
[4],sigmoid,1,0.1,16,3326.902011080956,131739777.74620152,-0.09171950817108154
[4],sigmoid,1,0.1,32,3327.080986313707,131741152.99378586,-0.09173071384429932
[4],sigmoid,1,0.1,64,3327.111460059772,131741142.35638642,-0.09173071384429932
[4],sigmoid,1,0.1,128,3327.4339073808424,131743537.28923206,-0.0917506217956543
[4],sigmoid,1,0.1,256,3326.801048893043,131739095.82156602,-0.0917137861251831
[4],sigmoid,1,0.1,512,3327.0069914844007,131740392.1651112,-0.09172451496124268
[4],sigmoid,1,0.01,16,3327.726069793402,131745491.08167876,-0.0917668342590332
[4],sigmoid,1,0.01,32,3327.381232721707,131743313.96683717,-0.09174859523773193
[4],sigmoid,1,0.01,64,3327.5018346722304,131744094.77806476,-0.09175515174865723
[4],sigmoid,1,0.01,128,3327.3385346977043,131742980.66687378,-0.09174597263336182
[4],sigmoid,1,0.01,256,3327.0313549132256,131740897.44593072,-0.09172868728637695
[4],sigmoid,1,0.01,512,3326.881830401056,131739852.10996374,-0.09171998500823975
[4],sigmoid,1,0.001,16,3326.8677235475056,131739867.8636256,-0.09172022342681885
[4],sigmoid,1,0.001,32,3326.8919822374714,131740024.8970861,-0.0917215347290039
[4],sigmoid,1,0.001,64,3327.200812944863,131742155.02154979,-0.09173905849456787
[4],sigmoid,1,0.001,128,3327.2211456346704,131742256.41011633,-0.09173989295959473
[4],sigmoid,1,0.001,256,3327.580555502602,131744574.22079827,-0.0917590856552124
[4],sigmoid,1,0.001,512,3327.67729587371,131745164.01203363,-0.09176397323608398
[4],sigmoid,1,0.0001,16,3327.6752701005757,131745353.57287219,-0.0917656421661377
[4],sigmoid,1,0.0001,32,3327.47712852167,131743966.26363668,-0.09175419807434082
[4],sigmoid,1,0.0001,64,3328.2060146222484,131748850.98545131,-0.09179461002349854
[4],sigmoid,1,0.0001,128,3327.5145796502293,131744070.99203153,-0.09175503253936768
[4],sigmoid,1,0.0001,256,3327.574729926578,131744604.54983367,-0.09175944328308105
[4],sigmoid,1,0.0001,512,3327.2147767403953,131742278.60653411,-0.09174001216888428
[4],sigmoid,10,0.1,16,3324.0977765388934,131721507.21829045,-0.0915679931640625
[4],sigmoid,10,0.1,32,3323.9692600201142,131720701.94787255,-0.09156131744384766
[4],sigmoid,10,0.1,64,3323.6603261987866,131717619.21740763,-0.09153580665588379
[4],sigmoid,10,0.1,128,3323.386826717413,131715406.94271661,-0.09151732921600342
[4],sigmoid,10,0.1,256,3323.434071560242,131715464.00857663,-0.09151792526245117
[4],sigmoid,10,0.1,512,3323.4421204118653,131715291.84553957,-0.09151649475097656
[4],sigmoid,10,0.01,16,3326.7146101429003,131738649.43418936,-0.09171009063720703
[4],sigmoid,10,0.01,32,3327.292665964839,131742272.12060745,-0.09174013137817383
[4],sigmoid,10,0.01,64,3326.5689703151443,131737635.2187552,-0.09170174598693848
[4],sigmoid,10,0.01,128,3326.9599457130444,131740221.17385134,-0.09172308444976807
[4],sigmoid,10,0.01,256,3327.118815531324,131741269.01568079,-0.09173190593719482
[4],sigmoid,10,0.01,512,3326.865462476661,131739613.33146408,-0.09171807765960693
[4],sigmoid,10,0.001,16,3327.1021167048066,131741330.36699505,-0.09173238277435303
[4],sigmoid,10,0.001,32,3326.9561061469003,131740550.33405134,-0.09172570705413818
[4],sigmoid,10,0.001,64,3327.1127165629227,131741581.52330738,-0.09173429012298584
[4],sigmoid,10,0.001,128,3327.3280061690166,131742909.79087341,-0.09174537658691406
[4],sigmoid,10,0.001,256,3327.1960302162142,131742037.58803357,-0.09173822402954102
[4],sigmoid,10,0.001,512,3327.2976984616025,131742675.72332342,-0.0917433500289917
[4],sigmoid,10,0.0001,16,3328.5827255422973,131751247.51705837,-0.09181439876556396
[4],sigmoid,10,0.0001,32,3327.6078490806613,131744649.19147503,-0.09175980091094971
[4],sigmoid,10,0.0001,64,3327.2270397268576,131742205.52247506,-0.09173953533172607
[4],sigmoid,10,0.0001,128,3327.0699486630942,131741219.62910196,-0.09173119068145752
[4],sigmoid,10,0.0001,256,3327.368157680332,131743273.58408898,-0.09174847602844238
[4],sigmoid,10,0.0001,512,3327.389259076888,131743373.50908233,-0.09174919128417969
[4],sigmoid,25,0.1,16,3315.7979720075127,131664834.55909215,-0.09109818935394287
[4],sigmoid,25,0.1,32,3318.383769694095,131687112.05844961,-0.09128284454345703
[4],sigmoid,25,0.1,64,3315.6063948549618,131663406.21852545,-0.09108638763427734
[4],sigmoid,25,0.1,128,3313.952512567289,131653118.46430713,-0.09100127220153809
[4],sigmoid,25,0.1,256,3317.005465601263,131676598.009054,-0.09119582176208496
[4],sigmoid,25,0.1,512,3317.645488686032,131682236.2552899,-0.09124255180358887
[4],sigmoid,25,0.01,16,3326.112871851408,131733778.42133348,-0.09166955947875977
[4],sigmoid,25,0.01,32,3326.7390149743565,131738166.9700173,-0.0917060375213623
[4],sigmoid,25,0.01,64,3326.3480685507006,131735813.93570971,-0.09168660640716553
[4],sigmoid,25,0.01,128,3326.9486856021636,131740351.23962274,-0.09172415733337402
[4],sigmoid,25,0.01,256,3327.1688918452624,131741660.63001609,-0.09173500537872314
[4],sigmoid,25,0.01,512,3327.3346347852353,131742490.38825645,-0.09174180030822754
[4],sigmoid,25,0.001,16,3328.049791701197,131747451.22574931,-0.09178292751312256
[4],sigmoid,25,0.001,32,3326.728359922964,131738924.07247199,-0.0917123556137085
[4],sigmoid,25,0.001,64,3327.6809127145348,131745137.95887978,-0.09176373481750488
[4],sigmoid,25,0.001,128,3327.2768860586175,131742627.40831822,-0.09174299240112305
[4],sigmoid,25,0.001,256,3327.474903677386,131743859.83171305,-0.09175324440002441
[4],sigmoid,25,0.001,512,3327.2250983128706,131742214.19127806,-0.09173965454101562
