Hidden_Layers,Activation,Epochs,Learning_Rate,Batch_Size,Loss,Accuracy,MAE,MSE,R2
"[4, 16]",ReLU,100,0.01,128,0.04254116490483284,0.9,0.1,0.1,0.5980303287506104
"[16, 32, 64]",Sigmoid,50,0.001,64,0.1748083084821701,0.895,0.105,0.105,0.5779318809509277
"[4, 16]",Tanh,50,0.001,64,0.17549580335617065,0.895,0.105,0.105,0.5779318809509277
"[16, 32]",Tanh,50,0.001,64,0.15729555487632751,0.89,0.11,0.11,0.5578333735466003
"[4, 16]",ReLU,50,0.001,64,0.16884447634220123,0.89,0.11,0.11,0.5578333735466003
"[4, 16]",Sigmoid,100,0.001,64,0.18499654531478882,0.89,0.11,0.11,0.5578333735466003
"[4, 16]",Sigmoid,10,0.01,64,0.1771092265844345,0.885,0.115,0.115,0.537734866142273
[64],Sigmoid,10,0.1,16,0.06605798006057739,0.885,0.115,0.115,0.537734866142273
"[4, 16, 32]",ReLU,10,0.1,32,0.1752920150756836,0.885,0.115,0.115,0.537734866142273
"[16, 32]",ReLU,25,0.001,64,0.1609024554491043,0.885,0.115,0.115,0.537734866142273
"[4, 16]",Sigmoid,100,0.001,32,0.19003978371620178,0.885,0.115,0.115,0.537734866142273
"[4, 16, 32]",Tanh,100,0.001,128,0.151736319065094,0.885,0.115,0.115,0.537734866142273
"[4, 16]",Sigmoid,25,0.01,64,0.15822167694568634,0.885,0.115,0.115,0.537734866142273
[8],Sigmoid,50,0.01,128,0.14596620202064514,0.885,0.115,0.115,0.537734866142273
"[4, 16]",Sigmoid,10,0.01,32,0.19770362973213196,0.885,0.115,0.115,0.537734866142273
[4],Sigmoid,250,0.001,64,0.17616821825504303,0.885,0.115,0.115,0.537734866142273
[4],Sigmoid,250,0.001,32,0.18902423977851868,0.885,0.115,0.115,0.537734866142273
"[32, 64]",Tanh,25,0.001,128,0.15878921747207642,0.885,0.115,0.115,0.537734866142273
[4],Sigmoid,100,0.001,16,0.2928048372268677,0.885,0.115,0.115,0.537734866142273
[64],Tanh,100,0.1,64,2.3614134988747537e-05,0.885,0.115,0.115,0.537734866142273
[4],Sigmoid,25,0.01,64,0.17919683456420898,0.885,0.115,0.115,0.537734866142273
[4],Sigmoid,25,0.01,32,0.19212256371974945,0.885,0.115,0.115,0.537734866142273
"[16, 32, 64]",ReLU,10,0.1,512,0.1713099330663681,0.885,0.115,0.115,0.537734866142273
"[16, 32, 64]",Sigmoid,100,0.001,32,0.18375638127326965,0.885,0.115,0.115,0.537734866142273
[8],Tanh,25,0.01,128,0.1304931938648224,0.885,0.115,0.115,0.537734866142273
[8],ReLU,100,0.001,64,0.16509273648262024,0.885,0.115,0.115,0.537734866142273
"[4, 16, 32]",Sigmoid,100,0.001,128,0.1534518003463745,0.885,0.115,0.115,0.537734866142273
"[4, 16, 32]",Sigmoid,10,0.01,32,0.18193058669567108,0.885,0.115,0.115,0.537734866142273
"[4, 16, 32]",Sigmoid,100,0.001,64,0.16931851208209991,0.885,0.115,0.115,0.537734866142273
"[4, 16, 32]",Sigmoid,10,0.01,64,0.17490758001804352,0.885,0.115,0.115,0.537734866142273
"[4, 16, 32]",Tanh,10,0.01,64,0.16654072701931,0.88,0.12,0.12,0.5176364183425903
[32],ReLU,50,0.001,64,0.1448187679052353,0.88,0.12,0.12,0.5176364183425903
"[4, 16]",Sigmoid,250,0.001,32,0.17490284144878387,0.88,0.12,0.12,0.5176364183425903
"[4, 16]",Sigmoid,250,0.001,128,0.1466239094734192,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",Tanh,10,0.001,32,0.2204468846321106,0.88,0.12,0.12,0.5176364183425903
[4],ReLU,50,0.1,16,0.24731487035751343,0.88,0.12,0.12,0.5176364183425903
"[32, 64]",Sigmoid,100,0.001,16,0.2541530430316925,0.88,0.12,0.12,0.5176364183425903
[16],Sigmoid,250,0.0001,16,0.35564011335372925,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",Sigmoid,100,0.001,32,0.18701976537704468,0.88,0.12,0.12,0.5176364183425903
[8],ReLU,10,0.01,128,0.13882973790168762,0.88,0.12,0.12,0.5176364183425903
[8],Sigmoid,25,0.01,64,0.1781328022480011,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",Sigmoid,25,0.01,64,0.16899195313453674,0.88,0.12,0.12,0.5176364183425903
"[16, 32, 64]",ReLU,250,0.0001,128,0.09056343138217926,0.88,0.12,0.12,0.5176364183425903
[4],Sigmoid,250,0.001,16,0.2988145351409912,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",Sigmoid,100,0.001,16,0.27796387672424316,0.88,0.12,0.12,0.5176364183425903
[4],Sigmoid,250,0.001,128,0.1854533553123474,0.88,0.12,0.12,0.5176364183425903
"[4, 16]",Sigmoid,100,0.001,16,0.28275978565216064,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",Tanh,50,0.001,32,0.16381877660751343,0.88,0.12,0.12,0.5176364183425903
"[16, 32]",Tanh,100,0.001,512,0.2676364779472351,0.88,0.12,0.12,0.5176364183425903
"[16, 32]",Tanh,100,0.001,16,0.10623303055763245,0.88,0.12,0.12,0.5176364183425903
"[4, 16]",Tanh,50,0.001,128,0.15908630192279816,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",Sigmoid,50,0.001,16,0.2819758653640747,0.88,0.12,0.12,0.5176364183425903
"[16, 32, 64]",Identity,10,0.01,256,0.15324360132217407,0.88,0.12,0.12,0.5176364183425903
[64],ReLU,10,0.01,256,0.061871834099292755,0.88,0.12,0.12,0.5176364183425903
[4],ReLU,25,0.001,16,0.32177573442459106,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",Sigmoid,50,0.001,32,0.19519442319869995,0.88,0.12,0.12,0.5176364183425903
[16],Sigmoid,50,0.01,128,0.14539743959903717,0.88,0.12,0.12,0.5176364183425903
"[16, 32]",Tanh,10,0.01,128,0.12738144397735596,0.88,0.12,0.12,0.5176364183425903
"[4, 16, 32]",ReLU,100,0.01,16,0.03059769980609417,0.88,0.12,0.12,0.5176364183425903
[8],Sigmoid,25,0.01,32,0.18801584839820862,0.88,0.12,0.12,0.5176364183425903
