Hidden_Layers,Activation,Epochs,Learning_Rate,Batch_Size,Loss,Accuracy,MAE,MSE,R2
"[16, 32]",Sigmoid,250,0.1,256,0.00020657479763031006,1.0,0.0,0.0,1.0
[16],Sigmoid,250,0.1,64,0.00019102318037766963,1.0,0.0,0.0,1.0
"[32, 64]",Sigmoid,250,0.01,128,8.531664934707806e-05,1.0,0.0,0.0,1.0
[64],Tanh,250,0.1,32,1.87880198154744e-06,1.0,0.0,0.0,1.0
"[32, 64]",Tanh,25,0.1,64,0.0003836224495898932,1.0,0.0,0.0,1.0
"[32, 64]",Tanh,25,0.1,128,0.0010070687858387828,1.0,0.0,0.0,1.0
[16],Sigmoid,250,0.1,256,0.0005133795202709734,1.0,0.0,0.0,1.0
"[32, 64]",Sigmoid,250,0.01,256,0.00015083467587828636,1.0,0.0,0.0,1.0
[64],ReLU,50,0.01,64,0.0062769632786512375,1.0,0.0,0.0,1.0
[16],Sigmoid,100,0.1,512,0.011441503651440144,1.0,0.0,0.0,1.0
[16],Sigmoid,250,0.1,32,1.574440102558583e-05,1.0,0.0,0.0,1.0
[16],Sigmoid,250,0.1,16,3.6237562994756445e-07,1.0,0.0,0.0,1.0
[16],Sigmoid,250,1.0,256,0.0011109871556982398,1.0,0.0,0.0,1.0
[64],Sigmoid,250,0.1,512,0.000770270824432373,1.0,0.0,0.0,1.0
[32],Tanh,250,0.001,16,0.0014363410882651806,1.0,0.0,0.0,1.0
"[16, 32]",Tanh,50,0.1,64,0.00010364303307142109,1.0,0.0,0.0,1.0
[16],Sigmoid,250,0.1,512,0.0035836119204759598,1.0,0.0,0.0,1.0
[64],Tanh,250,0.1,128,1.320957835559966e-05,1.0,0.0,0.0,1.0
[64],Tanh,250,0.1,512,0.00012247017002664506,1.0,0.0,0.0,1.0
[16],Sigmoid,250,0.01,32,0.0007274014060385525,1.0,0.0,0.0,1.0
[32],Sigmoid,50,1.0,128,0.0010760154109448195,1.0,0.0,0.0,1.0
[16],Sigmoid,250,0.01,64,0.0049171457067132,1.0,0.0,0.0,1.0
[64],ReLU,50,0.1,256,0.000316665624268353,1.0,0.0,0.0,1.0
[16],Tanh,250,0.1,64,2.9504501071642153e-05,1.0,0.0,0.0,1.0
[16],Tanh,250,0.1,128,9.274955664295703e-05,1.0,0.0,0.0,1.0
[16],Tanh,250,0.1,256,7.47715967008844e-05,1.0,0.0,0.0,1.0
[64],Tanh,250,0.01,32,2.116676296282094e-05,1.0,0.0,0.0,1.0
[64],Sigmoid,50,0.1,32,0.00011464006820460781,1.0,0.0,0.0,1.0
[64],Tanh,250,0.01,64,0.00012550198880489916,1.0,0.0,0.0,1.0
[64],Tanh,250,0.01,256,0.00044103298569098115,1.0,0.0,0.0,1.0
[64],Sigmoid,50,0.1,64,0.0009448836208321154,1.0,0.0,0.0,1.0
[64],Tanh,250,0.001,16,0.0004949447466060519,1.0,0.0,0.0,1.0
[64],Sigmoid,50,0.1,128,0.0008116168319247663,1.0,0.0,0.0,1.0
"[16, 32, 64]",ReLU,25,0.01,64,0.0016802232712507248,1.0,0.0,0.0,1.0
"[16, 32, 64]",ReLU,25,0.01,256,0.004784558899700642,1.0,0.0,0.0,1.0
"[16, 32]",ReLU,50,0.1,256,0.001266017439775169,1.0,0.0,0.0,1.0
"[4, 16, 32]",Tanh,250,0.01,64,0.0007202631095424294,1.0,0.0,0.0,1.0
[32],Tanh,250,0.1,128,1.814582537917886e-05,1.0,0.0,0.0,1.0
"[16, 32]",Tanh,50,0.01,32,0.00019944575615227222,1.0,0.0,0.0,1.0
[32],Tanh,250,0.1,512,0.00023981058620847762,1.0,0.0,0.0,1.0
[64],Tanh,100,0.1,16,8.806087862467393e-06,1.0,0.0,0.0,1.0
"[16, 32]",ReLU,100,0.001,32,0.004666012246161699,1.0,0.0,0.0,1.0
[32],Sigmoid,25,1.0,128,0.0010813679546117783,1.0,0.0,0.0,1.0
[64],Tanh,100,0.1,128,8.844163676258177e-05,1.0,0.0,0.0,1.0
[64],Tanh,100,0.1,256,0.00013621366815641522,1.0,0.0,0.0,1.0
"[16, 32]",ReLU,100,0.01,512,0.004140704404562712,1.0,0.0,0.0,1.0
"[16, 32]",ReLU,100,0.01,256,0.0003396320971660316,1.0,0.0,0.0,1.0
"[16, 32, 64]",ReLU,100,0.01,32,2.0603692973963916e-06,1.0,0.0,0.0,1.0
[32],Sigmoid,25,0.1,16,0.0006386260502040386,1.0,0.0,0.0,1.0
[16],Tanh,100,0.1,128,0.00031408111681230366,1.0,0.0,0.0,1.0
[32],Sigmoid,25,0.1,32,0.0010804866906255484,1.0,0.0,0.0,1.0
"[16, 32]",ReLU,100,0.01,128,0.00020048083388246596,1.0,0.0,0.0,1.0
"[16, 32]",Tanh,50,0.1,128,6.655893957940862e-05,1.0,0.0,0.0,1.0
[32],Tanh,50,0.1,512,0.00557149900123477,1.0,0.0,0.0,1.0
[64],Tanh,100,0.01,32,0.0003190887800883502,1.0,0.0,0.0,1.0
[16],Tanh,100,0.01,128,0.011976221576333046,1.0,0.0,0.0,1.0
